year,month,last,party
1971,Jan,Nixon,Republican
1971,Feb,Nixon,Republican
1971,Mar,Nixon,Republican
1971,Apr,Nixon,Republican
1971,May,Nixon,Republican
1971,Jun,Nixon,Republican
1971,Jul,Nixon,Republican
1971,Aug,Nixon,Republican
1971,Sep,Nixon,Republican
1971,Oct,Nixon,Republican
1971,Nov,Nixon,Republican
1971,Dec,Nixon,Republican
1972,Jan,Nixon,Republican
1972,Feb,Nixon,Republican
1972,Mar,Nixon,Republican
1972,Apr,Nixon,Republican
1972,May,Nixon,Republican
1972,Jun,Nixon,Republican
1972,Jul,Nixon,Republican
1972,Aug,Nixon,Republican
1972,Sep,Nixon,Republican
1972,Oct,Nixon,Republican
1972,Nov,Nixon,Republican
1972,Dec,Nixon,Republican
1973,Jan,Nixon,Republican
1973,Feb,Nixon,Republican
1973,Mar,Nixon,Republican
1973,Apr,Nixon,Republican
1973,May,Nixon,Republican
1973,Jun,Nixon,Republican
1973,Jul,Nixon,Republican
1973,Aug,Nixon,Republican
1973,Sep,Nixon,Republican
1973,Oct,Nixon,Republican
1973,Nov,Nixon,Republican
1973,Dec,Nixon,Republican
1974,Jan,Nixon,Republican
1974,Feb,Nixon,Republican
1974,Mar,Nixon,Republican
1974,Apr,Nixon,Republican
1974,May,Nixon,Republican
1974,Jun,Nixon,Republican
1974,Jul,Nixon,Republican
1974,Aug,Ford,Republican
1974,Sep,Ford,Republican
1974,Oct,Ford,Republican
1974,Nov,Ford,Republican
1974,Dec,Ford,Republican
1975,Jan,Ford,Republican
1975,Feb,Ford,Republican
1975,Mar,Ford,Republican
1975,Apr,Ford,Republican
1975,May,Ford,Republican
1975,Jun,Ford,Republican
1975,Jul,Ford,Republican
1975,Aug,Ford,Republican
1975,Sep,Ford,Republican
1975,Oct,Ford,Republican
1975,Nov,Ford,Republican
1975,Dec,Ford,Republican
1976,Jan,Ford,Republican
1976,Feb,Ford,Republican
1976,Mar,Ford,Republican
1976,Apr,Ford,Republican
1976,May,Ford,Republican
1976,Jun,Ford,Republican
1976,Jul,Ford,Republican
1976,Aug,Ford,Republican
1976,Sep,Ford,Republican
1976,Oct,Ford,Republican
1976,Nov,Ford,Republican
1976,Dec,Ford,Republican
1977,Jan,Carter,Democrat
1977,Feb,Carter,Democrat
1977,Mar,Carter,Democrat
1977,Apr,Carter,Democrat
1977,May,Carter,Democrat
1977,Jun,Carter,Democrat
1977,Jul,Carter,Democrat
1977,Aug,Carter,Democrat
1977,Sep,Carter,Democrat
1977,Oct,Carter,Democrat
1977,Nov,Carter,Democrat
1977,Dec,Carter,Democrat
1978,Jan,Carter,Democrat
1978,Feb,Carter,Democrat
1978,Mar,Carter,Democrat
1978,Apr,Carter,Democrat
1978,May,Carter,Democrat
1978,Jun,Carter,Democrat
1978,Jul,Carter,Democrat
1978,Aug,Carter,Democrat
1978,Sep,Carter,Democrat
1978,Oct,Carter,Democrat
1978,Nov,Carter,Democrat
1978,Dec,Carter,Democrat
1979,Jan,Carter,Democrat
1979,Feb,Carter,Democrat
1979,Mar,Carter,Democrat
1979,Apr,Carter,Democrat
1979,May,Carter,Democrat
1979,Jun,Carter,Democrat
1979,Jul,Carter,Democrat
1979,Aug,Carter,Democrat
1979,Sep,Carter,Democrat
1979,Oct,Carter,Democrat
1979,Nov,Carter,Democrat
1979,Dec,Carter,Democrat
1980,Jan,Carter,Democrat
1980,Feb,Carter,Democrat
1980,Mar,Carter,Democrat
1980,Apr,Carter,Democrat
1980,May,Carter,Democrat
1980,Jun,Carter,Democrat
1980,Jul,Carter,Democrat
1980,Aug,Carter,Democrat
1980,Sep,Carter,Democrat
1980,Oct,Carter,Democrat
1980,Nov,Carter,Democrat
1980,Dec,Carter,Democrat
1981,Jan,Reagan,Republican
1981,Feb,Reagan,Republican
1981,Mar,Reagan,Republican
1981,Apr,Reagan,Republican
1981,May,Reagan,Republican
1981,Jun,Reagan,Republican
1981,Jul,Reagan,Republican
1981,Aug,Reagan,Republican
1981,Sep,Reagan,Republican
1981,Oct,Reagan,Republican
1981,Nov,Reagan,Republican
1981,Dec,Reagan,Republican
1982,Jan,Reagan,Republican
1982,Feb,Reagan,Republican
1982,Mar,Reagan,Republican
1982,Apr,Reagan,Republican
1982,May,Reagan,Republican
1982,Jun,Reagan,Republican
1982,Jul,Reagan,Republican
1982,Aug,Reagan,Republican
1982,Sep,Reagan,Republican
1982,Oct,Reagan,Republican
1982,Nov,Reagan,Republican
1982,Dec,Reagan,Republican
1983,Jan,Reagan,Republican
1983,Feb,Reagan,Republican
1983,Mar,Reagan,Republican
1983,Apr,Reagan,Republican
1983,May,Reagan,Republican
1983,Jun,Reagan,Republican
1983,Jul,Reagan,Republican
1983,Aug,Reagan,Republican
1983,Sep,Reagan,Republican
1983,Oct,Reagan,Republican
1983,Nov,Reagan,Republican
1983,Dec,Reagan,Republican
1984,Jan,Reagan,Republican
1984,Feb,Reagan,Republican
1984,Mar,Reagan,Republican
1984,Apr,Reagan,Republican
1984,May,Reagan,Republican
1984,Jun,Reagan,Republican
1984,Jul,Reagan,Republican
1984,Aug,Reagan,Republican
1984,Sep,Reagan,Republican
1984,Oct,Reagan,Republican
1984,Nov,Reagan,Republican
1984,Dec,Reagan,Republican
1985,Jan,Reagan,Republican
1985,Feb,Reagan,Republican
1985,Mar,Reagan,Republican
1985,Apr,Reagan,Republican
1985,May,Reagan,Republican
1985,Jun,Reagan,Republican
